timestamp -> D4,D7Π,D17,D12Π,D13,D11Π,D20,D22Π,D23,D19Π,D21,D18Π,D14,D15Π,D10,D16Π,Class
19:11:15.169 -> 685,2081,2778,4095,4095,4095,4095,4095,3325,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.169 -> 2786,3323,4095,4095,4095,4095,4095,4095,2554,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.169 -> 2686,3259,4095,4095,4095,4095,4095,4095,2554,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.169 -> 2688,3264,4095,4095,4095,4095,4095,4095,2031,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.215 -> 2636,2432,4095,4095,4095,4095,4095,4095,1599,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.215 -> 2234,2162,3935,4095,4095,4095,4095,4095,1481,4095,4095,4095,4095,4095,2920,4095,0
19:11:15.215 -> 1791,2064,3661,4095,4095,4095,4095,4095,1078,4095,3280,4095,4095,4095,2544,4095,0
19:11:15.215 -> 1713,2007,2787,4095,4095,4095,4095,4095,963,4095,2992,3884,4095,4095,37,4095,0
19:11:15.215 -> 206,97,1606,2147,1958,1572,0,2183,419,4095,145,268,383,4095,547,4095,0
19:11:15.215 -> 515,1809,517,4095,4095,4095,4095,4095,3293,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.263 -> 2637,3343,4095,4095,4095,4095,4095,4095,2630,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.263 -> 2714,3261,4095,4095,4095,4095,4095,4095,2459,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.263 -> 2736,3248,4095,4095,4095,4095,4095,4095,2288,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.263 -> 2647,2406,4095,4095,4095,4095,4095,4095,1678,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.263 -> 2275,2161,4095,4095,4095,4095,4095,4095,1493,4095,4095,4095,4095,4095,3327,4095,0
19:11:15.263 -> 1973,2055,3295,4095,4095,4095,4095,4095,1107,4095,3261,4095,4095,4095,2525,4095,0
19:11:15.263 -> 1887,1991,2725,4095,4095,4095,4095,4095,963,4095,2864,3600,4095,4095,0,4095,0
19:11:15.311 -> 216,80,1088,1425,887,774,886,2054,12,4095,83,904,177,4095,308,4080,0
19:11:15.311 -> 611,1726,2586,4095,4095,2426,235,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.311 -> 2743,2656,4095,4095,4095,4095,4095,4095,2594,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.311 -> 2704,3278,4095,4095,4095,4095,4095,4095,2587,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.311 -> 2705,3248,4095,4095,4095,4095,4095,4095,2515,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.311 -> 2795,2634,4095,4095,4095,4095,4095,4095,1897,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.311 -> 2288,2192,4095,4095,4095,4095,4095,4095,1499,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.359 -> 1921,2131,3719,4095,4095,4095,4095,4095,1093,4095,3537,4095,4095,4095,2641,4095,0
19:11:15.500 -> 1167,1800,2335,2832,304,900,0,1934,592,4095,0,601,273,4095,31,4095,0
19:11:15.500 -> 300,43,19,2994,1718,582,0,2235,1124,4095,0,5,2022,4095,240,4095,0
19:11:15.547 -> 2955,2517,4095,4095,4095,4095,4095,4095,3101,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.547 -> 2743,3308,4095,4095,4095,4095,4095,4095,2551,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.547 -> 2631,3271,4095,4095,4095,4095,4095,4095,2517,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.547 -> 2685,3183,4095,4095,4095,4095,4095,4095,1637,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.547 -> 2339,2240,4095,4095,4095,4095,4095,4095,1563,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.547 -> 2161,2164,4095,4095,4095,4095,4095,4095,1389,4095,4095,4095,4095,4095,3463,4095,0
19:11:15.547 -> 1829,2092,3287,4095,4095,4095,4095,4095,1005,4095,3330,4095,4095,4095,2496,4095,0
19:11:15.595 -> 1722,1977,2597,4095,4095,4095,4095,4095,988,4095,2685,3248,4095,4095,0,4095,0
19:11:15.595 -> 204,151,1614,1329,1884,383,1660,1953,0,4095,276,497,464,4095,76,4095,0
19:11:15.595 -> 355,1999,641,4095,2835,3670,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.595 -> 2845,3349,4095,4095,4095,4095,4095,4095,2546,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.595 -> 2742,3277,4095,4095,4095,4095,4095,4095,2570,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.595 -> 2775,3245,4095,4095,4095,4095,4095,4095,2421,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.595 -> 2757,2621,4095,4095,4095,4095,4095,4095,1761,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.643 -> 2347,2182,4095,4095,4095,4095,4095,4095,1466,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.643 -> 1881,2090,3481,4095,4095,4095,4095,4095,1107,4095,3565,4095,4095,4095,2598,4095,0
19:11:15.643 -> 1865,2029,2830,4095,4095,4095,4095,4095,1030,4095,2825,3578,4095,4095,1355,4095,0
19:11:15.643 -> 1516,1759,2223,4095,4095,4095,4095,2059,63,4095,120,0,258,4095,8,4095,0
19:11:15.643 -> 270,46,1734,1915,913,721,1444,2192,999,4095,8,921,257,4095,31,4095,0
